N, epsilon, method, upwind, downwind, central
8,0.01,Arc Length,0.25160631131248423,6.742139003556936,0.8149079084009452
8,0.01,Curvature,0.1936741123534062,1.7634975554761534,0.03392283335262452
16,0.01,Arc Length,0.1492981973982368,3.5241929784062482,0.03397572528086988
16,0.01,Curvature,0.09396951253167035,2.308060539673925,0.0046682921331675925
32,0.01,Arc Length,0.08734464107409837,1.587572491142256,0.007852630903972839
32,0.01,Curvature,0.04680312014397234,3.450636384038911,0.0008370416956932051
64,0.01,Arc Length,0.04861714599808456,1.096654266138786,0.004235649429254294
64,0.01,Curvature,0.023158310479606786,4.826921203352745,0.00022935351725882942
128,0.01,Arc Length,0.026629540558817055,1.7066811299626676,0.0013169157711694335
128,0.01,Curvature,0.011491182822788493,2.5889910802365317,4.6389427954195714e-05
256,0.01,Arc Length,0.014129974413626789,0.019861839841036052,0.00036020858089310433
256,0.01,Curvature,0.00572811865482864,0.40794296886751896,1.1317789888285097e-05
512,0.01,Arc Length,0.007373321836721458,0.00847178146082811,9.588294161059314e-05
512,0.01,Curvature,0.002860352478843531,0.0028687928447039823,2.767478767875018e-06
8,0.001,Arc Length,0.26522641497896643,7.1909660354697715,0.985273321432029
8,0.001,Curvature,0.20505653959393272,1.5855922567632086,0.9816247803167147
16,0.001,Arc Length,0.1658707349074377,1.2631769280548764,0.9641406592937614
16,0.001,Curvature,0.1021677586116237,2.208908547289527,0.004946124885174924
32,0.001,Arc Length,0.10128126974402923,2.3856732394094933,0.013028749003291838
32,0.001,Curvature,0.04890945890658349,2.1760748609709686,0.0013180396403190318
64,0.001,Arc Length,0.055752135823334464,1.6463815700678672,0.005383683311502461
64,0.001,Curvature,0.023957946494808896,1.5022781407871477,0.0002273009253541209
128,0.001,Arc Length,0.03231974569317031,1.7330787895003361,0.002574456691974914
128,0.001,Curvature,0.011837936059359844,1.4061148531841732,5.0416317908821026e-05
256,0.001,Arc Length,0.017802063381288036,1.0389638412922864,0.001099858983853088
256,0.001,Curvature,0.005880395998271337,2.4891605933786343,1.3042995838192098e-05
512,0.001,Arc Length,0.00965604200473727,2.684120391131599,0.0006137054143392376
512,0.001,Curvature,0.0029307695747331497,1.4623860632666033,3.3075878231249067e-06
8,0.0001,Arc Length,0.26760523917695045,2.808251375840575,0.9985657848650765
8,0.0001,Curvature,0.2300952530180192,1.8214313212742217,0.9986893303578489
16,0.0001,Arc Length,0.1697350100289908,1.3276187689851244,0.9968706686217121
16,0.0001,Curvature,0.10754552826520616,20.67479802225055,0.006631208484239469
32,0.0001,Arc Length,0.124420591394793,4.203652386844162,0.9931354090466786
32,0.0001,Curvature,0.050226119863440916,7.519952031114792,0.001094874243192218
64,0.0001,Arc Length,0.052825912567432964,1.745618731059658,0.981961285574172
64,0.0001,Curvature,0.024288209742910516,1.770441185666706,0.00019373726768943966
128,0.0001,Arc Length,0.034255605799179245,2.855242602492038,0.0028604185413387477
128,0.0001,Curvature,0.011946176349325988,29.910291181856266,6.765325717229728e-05
256,0.0001,Arc Length,0.01950612645607812,1.2076855179138852,0.0016097255270186928
256,0.0001,Curvature,0.005915868950026298,1.536795563722401,1.1035819055750213e-05
512,0.0001,Arc Length,0.010645886362306095,2.025454949100021,0.001332064127333713
512,0.0001,Curvature,0.002944155465285647,6.74218672969345,3.1511354844251485e-06
8,1e-05,Arc Length,0.012845706176396734,226.34227102515618,0.9998569723759387
8,1e-05,Curvature,0.21865268773115415,1.8189865025486704,0.9998743152237348
16,1e-05,Arc Length,0.12728580165467093,1.509027421930281,0.9996917686059058
16,1e-05,Curvature,0.10963268469596082,1.8841719521153846,0.99971615652153
32,1e-05,Arc Length,0.08453805848901635,1.2643775421573578,0.9993578355980844
32,1e-05,Curvature,0.05098733697652755,6.4243264383549805,0.0018903516991584355
64,1e-05,Arc Length,0.07391628707927672,1.0673868299281886,0.9986605963794544
64,1e-05,Curvature,0.024458363689944557,2.373080875414933,0.0002636522806985189
128,1e-05,Arc Length,0.04159138486308918,6.061217216991423,0.9970266924643709
128,1e-05,Curvature,0.012120117328673602,3.289884007131085,8.226638564132795e-05
256,1e-05,Arc Length,0.018073720511995683,2.235553214257197,0.0013001974078833331
256,1e-05,Curvature,0.005930245149773639,1.8958667121923987,1.9723579023055828e-05
512,1e-05,Arc Length,0.01051870822880105,2.1774376686347754,0.0007461399785639215
512,1e-05,Curvature,0.00294889488003508,1.0901695311905641,2.839087695434016e-06
8,1e-06,Arc Length,0.0013760743876907483,1.0016468312908202,0.9999857011872457
8,1e-06,Curvature,0.030318022367486312,1.3357872894076614,0.9999874836026442
16,1e-06,Arc Length,0.24518668257277915,1.0057602030202542,0.9999692242230653
16,1e-06,Curvature,0.27504112208077675,1.0527435800722693,0.9999739748881175
32,1e-06,Arc Length,0.14654161064587287,5.90638394989437,0.9999362349378383
32,1e-06,Curvature,0.06337419392694182,4.100736164798058,0.999937714945399
64,1e-06,Arc Length,0.07399814289416845,3.4688589279561737,0.9998699597122147
64,1e-06,Curvature,0.02454999328306684,1.1796884428070202,0.00019395724515832552
128,1e-06,Arc Length,0.051552714778779415,1.3745383804265416,0.9997349880602969
128,1e-06,Curvature,0.012046032632836517,1.6431496395357506,5.466024479606425e-05
256,1e-06,Arc Length,0.021130854590295983,1.304321651023026,0.9994456484428434
256,1e-06,Curvature,0.005940507290080388,5.6806613956244085,1.8099370804151263e-05
512,1e-06,Arc Length,0.012837726497470447,1.0743285951956079,0.9987030850187089
512,1e-06,Curvature,0.002951303244327075,3.1814374188722416,5.508501573232858e-06
8,1e-07,Arc Length,0.035335214812801774,1.0010796891891987,0.9999985701582228
8,1e-07,Curvature,0.00011337697141095571,1.0007658401901007,0.9999987488779976
16,1e-07,Arc Length,0.1896229143961245,1.0455906177089132,0.9999969228963475
16,1e-07,Curvature,0.0017417591936875023,7.4444915202167055,0.9999974195683885
32,1e-07,Arc Length,0.08484324798686016,3.6231723820021706,0.9999936280189051
32,1e-07,Curvature,0.10942800909029643,1.034728369749021,0.9999946782489686
64,1e-07,Arc Length,0.05807116252696523,1.0007081620176188,0.9999870352942063
64,1e-07,Curvature,0.024652031710472366,1.6320641990546985,0.9999865000429137
128,1e-07,Arc Length,0.03242290233382125,7.437912406666604,0.9999738255323765
128,1e-07,Curvature,0.012150787750749348,3.455317422325596,0.9997630662396831
256,1e-07,Arc Length,0.01880219356208039,1.0800504022423647,0.9999472095296766
256,1e-07,Curvature,0.005952072623577831,3.6148328587579175,1.1805064635150162e-05
512,1e-07,Arc Length,0.009891830276552604,3.6317391694576635,0.9998924047206101
512,1e-07,Curvature,0.002952761976863588,1.3308832131838781,4.470635948861493e-06
